holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,is_holiday
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,False
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,False
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,False
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,False
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,False
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,False
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,False
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,False
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,False
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,False
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,False
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,False
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,False
,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,False
,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,False
,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,False
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,False
,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,False
,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,False
,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,False
,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,False
,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,False
,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,False
,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,False
,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,False
,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,False
,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,False
,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,False
,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,False
,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,False
,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,False
,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,False
,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,False
,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,False
,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,False
,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,False
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,False
,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,False
,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,False
,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,False
,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,False
,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,False
,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,False
,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,False
,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,False
,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,False
,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,False
,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,False
,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,False
,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,False
,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,False
,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,False
,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,False
,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907,False
,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503,False
,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037,False
,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822,False
,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992,False
,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166,False
,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627,False
,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388,False
,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368,False
,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489,False
,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537,False
,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628,False
,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534,False
,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403,False
,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770,False
,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217,False
,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870,False
,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967,False
,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108,False
,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128,False
,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069,False
,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169,False
,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384,False
,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063,False
,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364,False
,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971,False
,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450,False
,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832,False
,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231,False
,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718,False
,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545,False
,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411,False
,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688,False
,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352,False
,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072,False
