holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,is_holiday,hour,day_of_week,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,is_severe_weather,is_low_visibility,has_precipitation,temp_scaled,clouds_all_scaled,congestion_category
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,False,9,1,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.673215356928614,0.4,Severe
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,False,10,1,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.689412117576485,0.75,High
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,False,11,1,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6927114577084582,0.9,High
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,False,12,1,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7009598080383924,0.9,Severe
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,False,13,1,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7161067786442711,0.75,High
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,False,14,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724805038992202,0.01,Severe
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,False,15,1,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746550689862028,0.01,Severe
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,False,16,1,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7568986202759451,0.01,Severe
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,False,17,1,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7610977804439112,0.2,Severe
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,False,18,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7455008998200364,0.2,High
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,False,19,1,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7135572885422921,0.2,High
